arquivo;tipo_tratamento;prioridade;horizonte;modelo;familia;serie_modelada;passos;transformacao;exog;ajustado_ate;corte_teste;n_treino;n_blocos_cv;mae_cv;mae_cv_piso;mae;mase;mae_ingenuo;ganho_vs_ingenuo;supera_ingenuo;regra_ingenua;configuracao;kb
com_intervencao_P2_D1_SARIMAX.pkl;com_intervencao;2;D+1;SARIMAX;SARIMAX;abertos;1;log1p;vespera_feriado, cos_semana;2025-11-19;2025-11-20;323;3;14.0638;21.8175;20.4746;1.1691;22.7857;10.14;True;último valor;order=(0, 0, 3) sazonal=(0, 1, 1, 7) trend=c transf=log1p exog=['vespera_feriado', 'cos_semana'];6992.0
com_intervencao_P2_D7_SARIMAX.pkl;com_intervencao;2;D+7;SARIMAX;SARIMAX;soma7;7;nenhuma;backlog_obs7;2025-11-19;2025-11-20;323;3;67.0319;110.037;65.9106;0.8644;148.8333;55.72;True;soma da última semana;order=(0, 0, 9) sazonal=(0, 0, 0, 0) trend=c transf=nenhuma exog=['backlog_obs7'];2477.9
com_intervencao_P3_D1_ETS.json;com_intervencao;3;D+1;ETS;ETS;abertos;1;nenhuma;-;2025-11-19;2025-11-20;323;3;13.0382;27.8651;17.0975;0.6075;17.5238;2.43;True;último valor;trend=None sazonal=add transf=nenhuma;0.5
com_intervencao_P3_D7_Theta.json;com_intervencao;3;D+7;Theta;Theta;soma7;7;nenhuma;-;2025-11-19;2025-11-20;323;3;58.084;57.9722;92.3334;1.1461;92.5833;0.27;True;soma da última semana;period=7 desazonaliza=True transf=nenhuma;0.2
com_intervencao_P4_D1_SARIMAX.pkl;com_intervencao;4;D+1;SARIMAX;SARIMAX;abertos;1;log1p;-;2025-11-19;2025-11-20;323;3;6.68;9.5079;6.5187;0.6708;7.2857;10.53;True;último valor;order=(2, 1, 3) sazonal=(1, 1, 1, 7) trend=t transf=log1p exog=-;7685.4
com_intervencao_P4_D7_SARIMAX.pkl;com_intervencao;4;D+7;SARIMAX;SARIMAX;soma7;7;nenhuma;feriados_7d, saldo_aberto_fechado_obs7, inc_por_time_obs7;2025-11-19;2025-11-20;323;3;29.8648;38.3519;33.2909;0.9353;34.2778;2.88;True;soma da última semana;order=(1, 0, 9) sazonal=(0, 0, 0, 0) trend=c transf=nenhuma exog=['feriados_7d', 'saldo_aberto_fechado_obs7', 'inc_por_time_obs7'];2493.6
sem_intervencao_P2_D1_Theta.json;sem_intervencao;2;D+1;Theta;Theta;abertos;1;log1p;-;2025-12-03;2025-12-04;94;2;35.4404;64.1667;24.1984;0.4657;27.9643;13.47;True;último valor;period=7 desazonaliza=True transf=log1p;0.2
sem_intervencao_P2_D7_SARIMAX.pkl;sem_intervencao;2;D+7;SARIMAX;SARIMAX;soma7;7;log1p;descricoes_distintas_obs7;2025-12-03;2025-12-04;94;2;154.6214;289.4048;72.024;0.3172;100.2273;28.14;True;soma da última semana;order=(0, 0, 7) sazonal=(0, 0, 0, 0) trend=c transf=log1p exog=['descricoes_distintas_obs7'];547.1
sem_intervencao_P3_D1_Theta.json;sem_intervencao;3;D+1;Theta;Theta;abertos;1;nenhuma;-;2025-12-03;2025-12-04;94;2;35.1199;44.9762;75.7229;1.3468;65.4286;-15.73;False;último valor;period=7 desazonaliza=True transf=nenhuma;0.2
sem_intervencao_P3_D7_SARIMAX.pkl;sem_intervencao;3;D+7;SARIMAX;SARIMAX;soma7;7;nenhuma;backlog_obs7;2025-12-03;2025-12-04;94;2;124.7926;182.8571;1188.5135;4.4914;745.1364;-59.5;False;soma da última semana;order=(1, 1, 9) sazonal=(0, 0, 0, 0) trend=n transf=nenhuma exog=['backlog_obs7'];856.5
sem_intervencao_P4_D1_Theta.json;sem_intervencao;4;D+1;Theta;Theta;abertos;1;nenhuma;-;2025-12-03;2025-12-04;94;2;37.497;37.4286;69.0576;1.2588;69.0;-0.08;False;último valor;period=7 desazonaliza=False transf=nenhuma;0.2
sem_intervencao_P4_D7_Theta.json;sem_intervencao;4;D+7;Theta;Theta;soma7;7;nenhuma;-;2025-12-03;2025-12-04;94;2;323.055;306.7857;386.3616;0.749;531.2273;27.27;True;7 x abertos[D];period=7 desazonaliza=True transf=nenhuma;0.2
total_P2_D1_ETS.json;total;2;D+1;ETS;ETS;abertos;1;log1p;-;2025-12-03;2025-12-04;94;2;49.7713;73.1667;28.4686;0.4161;36.5357;22.08;True;último valor;trend=None sazonal=None transf=log1p;0.3
total_P2_D7_SARIMAX.pkl;total;2;D+7;SARIMAX;SARIMAX;soma7;7;log1p;-;2025-12-03;2025-12-04;94;2;211.1893;397.2381;134.9733;0.4365;121.7273;-10.88;False;soma da última semana;order=(0, 0, 6) sazonal=(0, 0, 0, 0) trend=c transf=log1p exog=-;436.6
total_P3_D1_Theta.json;total;3;D+1;Theta;Theta;abertos;1;nenhuma;-;2025-12-03;2025-12-04;94;2;41.8721;60.5238;80.6626;1.1347;71.4286;-12.93;False;último valor;period=7 desazonaliza=True transf=nenhuma;0.2
total_P3_D7_SARIMAX.pkl;total;3;D+7;SARIMAX;SARIMAX;soma7;7;nenhuma;inc_por_ic_obs7;2025-12-03;2025-12-04;94;2;180.6898;230.119;1017.1462;3.3071;709.0909;-43.44;False;soma da última semana;order=(0, 1, 9) sazonal=(0, 0, 0, 0) trend=n transf=nenhuma exog=['inc_por_ic_obs7'];856.3
total_P4_D1_Theta.json;total;4;D+1;Theta;Theta;abertos;1;nenhuma;-;2025-12-03;2025-12-04;94;2;36.1272;36.0238;69.7301;1.2256;69.6786;-0.07;False;último valor;period=7 desazonaliza=False transf=nenhuma;0.2
total_P4_D7_ETS.json;total;4;D+7;ETS;ETS;soma7;7;nenhuma;-;2025-12-03;2025-12-04;94;2;326.0977;307.7381;413.1341;0.7681;558.0909;25.97;True;7 x abertos[D];trend=None sazonal=None transf=nenhuma;0.3
